,APP_NAME,APP_LINK,GH_REPO_URL,PARTNER_TECH_USED
0,💸 MoneyMentor,https://moneymentor.streamlit.app/,https://github.com/samkamau81/FinGPT_,"[""LangChain""]"
1,Adaptive Exercise Generator,https://genai-exercise-generator-deza4qcucy8a9k4dzcwf9b.streamlit.app/,https://github.com/sayyidka/genai-exercise-generator,"[""LangChain""]"
2,AdLlama,https://adllama-mfot65fjuf2pvknscqk92r.streamlit.app/,https://github.com/panchambanerjee/adllama,"[""LangChain""]"
3,After Call Work Automation,https://after-call-work.streamlit.app,https://github.com/technocouple/acw-ui.git,"[""AssemblyAI"", ""Clarifai""]"
4,Agent Neo,https://agent-neo-public.streamlit.app/,https://github.com/a-s-g93/agent-neo-public,"[""LangChain""]"
5,AHEAD GPT Demo,https://ahead-gpt-demo.streamlit.app/,https://github.com/alonzorworks/streamlit_ask_data_app/tree/version1,"[""LangChain""]"
6,AI Chatverse,https://ai-chatverse.streamlit.app/,https://github.com/scmpevatrons/ai-chatverse,"[""LangChain""]"
7,AI Hackathon Judge,https://ai-hackathon-judge.streamlit.app,https://github.com/xleven/ai-hackathon-judge,"[""LangChain""]"
8,AI Reasearch Buddy,https://gpt-research-buddy.streamlit.app/,https://github.com/bp-high/research_buddy/tree/main,"[""Clarifai"", ""LangChain"", ""LlamaIndex""]"
9,AI-Seeker,https://ai-seeker-123.streamlit.app/,https://github.com/srikanthnm/ai-seeker,"[""LangChain"", ""LlamaIndex""]"
10,AIlingo,https://ailingo.streamlit.app/,https://github.com/Yadan-Wei/AIlingo,"[""LangChain""]"
11,AIPoet,https://aipoetofficial.streamlit.app/,https://github.com/srijit1997/aipoet,"[""LangChain""]"
12,Albert - AI Friend,https://albert-chat.streamlit.app/,https://github.com/NuttyFlash/albert1,"[""LangChain""]"
13,AlwaysWithYou_Chatbot,https://alwayswithyou-chatbot.streamlit.app/,https://github.com/kelu-look/AlwaysWithYou_Chatbot,"[""LangChain""]"
14,Alzy,https://alzybot.streamlit.app/,https://github.com/yunhui7121/alzybot/tree/main,"[""LangChain""]"
15,Amazon Reviews Analyzer,https://ratings-and-reviews.streamlit.app/,https://github.com/rabiahmad/ratings-and-reviews-analyser,"[""LangChain""]"
16,American Elementary School Curriculum Generator,https://teachersgpt-chatgpt.streamlit.app/,https://github.com/syedabbast/Teachers_GPT,"[""LangChain""]"
18,Anyday Assistant,https://app-llm-hackathon-qi4zuuu3qkkhf6gfpousow.streamlit.app/,https://github.com/harshh1802/streamlit-llm-hackathon,"[""LangChain""]"
19,Ask Multi PDFs,https://mainpy-b6ndzd7budfzemn6uy5zuv.streamlit.app/,https://github.com/nrwpradana/multi-pdf,"[""LangChain""]"
20,Ask My CSV,https://ask-mycsv.streamlit.app/,https://github.com/nrwpradana/ask-csv,"[""LangChain""]"
21,Ask The Wireshark,https://ask-wireshark.streamlit.app/,https://github.com/nrwpradana/askwireshark,"[""LangChain""]"
22,Ask Valluvar,https://ask-valluvar.streamlit.app/,https://github.com/kspviswa/ask-valluvar,"[""Clarifai""]"
23,AskPdf,https://askpdfs.streamlit.app/,https://github.com/viniciusarruda/AskPDF,"[""LangChain""]"
24,Audio to Text Converter,https://audio-to-text.streamlit.app/,https://github.com/shivambaldha/Audio-to-Text-Converter,"[""AssemblyAI""]"
25,Audio Transcriber and Analysis Tool,https://audio-transcriber-app.streamlit.app/,https://github.com/iamanimesh11/Audio-transcriber-streamlit-hackathon,"[""AssemblyAI""]"
26,Audio transcription and analysis with LLM + chat about content,https://apphackathonllm2023-rrqhordtnjzy9byshrqsu6.streamlit.app/,https://github.com/htsnet/StreamlitHackathonLLM2023,"[""LangChain"", ""AssemblyAI""]"
27,Auto Chain,https://auto-chain.streamlit.app/,https://github.com/AAAATTIEH/auto-chain,"[""LangChain""]"
28,AyurVaidya,https://ayurvaidyabot-xrhbd3jzl6r.streamlit.app/,https://github.com/Keerthana-srija/AyurVaidyabot,"[""LangChain""]"
29,Baldur's Gate III AI Guide,https://baldurs-gate-ai-guide.streamlit.app,https://github.com/trancethehuman/baldurs-gate-ai-guide,"[""LlamaIndex""]"
30,Ben- Form 10K x Benchmarking Agent,https://form10kagent.streamlit.app/,https://github.com/Shivanandroy/Ben-Form10K-Benchmarking-Agent,"[""LangChain""]"
31,BizGenerator,https://bizgenerator.streamlit.app/,https://github.com/thitirat-mnc/BizGenerator,"[""LangChain""]"
